  0, 14
  0, 14
  1,  3
  1, 15
  1, 40
  1, 48
  1, 53
  1, 55
  2, 38
  3,  5
  3,  5
  3,  7
  3, 11
  3, 36
  3, 37
  3, 40
  3, 43
  3, 50
  3, 56
  4,  2
  4,  8
  4, 21
  4, 26
  4, 30
  4, 45
  4, 53
  5,  3
  5,  3
  5, 36
  5, 39
  5, 51
  7,  3
  7, 12
  7, 31
  7, 34
  7, 34
  7, 38
  7, 54
  8,  7
  8,  8
  8,  9
  8, 14
  8, 36
  9, 23
  9, 23
  9, 23
  9, 29
  9, 40
 10, 57
 10, 58
 11,  0
 11,  8
 11, 42
 13, 10
 13, 29
 13, 53
 15, 50
 15, 52
 15, 55
 16, 51
 18, 26
 18, 35
 18, 36
 18, 40
 20, 11
 20, 39
